code,name,market,label
1301,極洋,プライム（内国株式）,1301 極洋
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,1305 ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,1306 ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信
1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,1308 上場インデックスファンドＴＯＰＩＸ
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,1309 ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,130A Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,1311 ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,1319 ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,1320 ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,1321 ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,1322 上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,1325 ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信
1326,ＳＰＤＲゴールド・シェア,ETF・ETN,1326 ＳＰＤＲゴールド・シェア
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,1328 ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,1329 ｉシェアーズ・コア　日経２２５　ＥＴＦ
1330,上場インデックスファンド２２５,ETF・ETN,1330 上場インデックスファンド２２５
1332,ニッスイ,プライム（内国株式）,1332 ニッスイ
1333,Ｕｍｉｏｓ,プライム（内国株式）,1333 Ｕｍｉｏｓ
133A,グローバルＸ　超短期米国債　ＥＴＦ,ETF・ETN,133A グローバルＸ　超短期米国債　ＥＴＦ
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF・ETN,1343 ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,1345 上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型
1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,1346 ＭＡＸＩＳ　日経２２５上場投信
1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,1348 ＭＡＸＩＳ　トピックス上場投信
1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,1349 ＡＢＦ汎アジア債券インデックス・ファンド
1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,1356 ＴＯＰＩＸベア２倍上場投信
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,1357 ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信
1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,1358 上場インデックスファンド日経レバレッジ指数
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,135A ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ
1360,日経平均ベア２倍上場投信,ETF・ETN,1360 日経平均ベア２倍上場投信
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,1364 ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF・ETN,1365 ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF・ETN,1366 ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN,1367 ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN,1368 ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数
1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN,1369 Ｏｎｅ　ＥＴＦ　日経２２５
1375,ユキグニファクトリー,プライム（内国株式）,1375 ユキグニファクトリー
1376,カネコ種苗,スタンダード（内国株式）,1376 カネコ種苗
1377,サカタのタネ,プライム（内国株式）,1377 サカタのタネ
1379,ホクト,プライム（内国株式）,1379 ホクト
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,137A Ｃｏｃｏｌｉｖｅ
1380,秋川牧園,スタンダード（内国株式）,1380 秋川牧園
1381,アクシーズ,スタンダード（内国株式）,1381 アクシーズ
1382,ホーブ,スタンダード（内国株式）,1382 ホーブ
1383,ベルグアース,スタンダード（内国株式）,1383 ベルグアース
1384,ホクリヨウ,スタンダード（内国株式）,1384 ホクリヨウ
138A,光フードサービス,グロース（内国株式）,138A 光フードサービス
1397,ＳＭＤＡＭ　日経２２５上場投信,ETF・ETN,1397 ＳＭＤＡＭ　日経２２５上場投信
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN,1398 ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN,1399 上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ
1401,エムビーエス,グロース（内国株式）,1401 エムビーエス
1407,ウエストホールディングス,スタンダード（内国株式）,1407 ウエストホールディングス
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,ETF・ETN,140A ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース
1414,ショーボンドホールディングス,プライム（内国株式）,1414 ショーボンドホールディングス
1417,ミライト・ワン,プライム（内国株式）,1417 ミライト・ワン
1418,インターライフホールディングス,スタンダード（内国株式）,1418 インターライフホールディングス
1419,タマホーム,プライム（内国株式）,1419 タマホーム
141A,トライアルホールディングス,グロース（内国株式）,141A トライアルホールディングス
1420,サンヨーホームズ,スタンダード（内国株式）,1420 サンヨーホームズ
1429,日本アクア,プライム（内国株式）,1429 日本アクア
142A,ジンジブ,グロース（内国株式）,142A ジンジブ
1430,ファーストコーポレーション,スタンダード（内国株式）,1430 ファーストコーポレーション
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,1431 Ｌｉｂ　Ｗｏｒｋ
1433,ベステラ,プライム（内国株式）,1433 ベステラ
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,1434 ＪＥＳＣＯホールディングス
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,1435 ｒｏｂｏｔ　ｈｏｍｅ
1436,グリーンエナジー＆カンパニー,グロース（内国株式）,1436 グリーンエナジー＆カンパニー
1438,岐阜造園,スタンダード（内国株式）,1438 岐阜造園
143A,イシン,グロース（内国株式）,143A イシン
1443,技研ホールディングス,スタンダード（内国株式）,1443 技研ホールディングス
1444,ニッソウ,グロース（内国株式）,1444 ニッソウ
1446,キャンディル,スタンダード（内国株式）,1446 キャンディル
1447,ＳＡＡＦホールディングス,グロース（内国株式）,1447 ＳＡＡＦホールディングス
1450,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,1450 ＴＡＮＡＫＥＮ
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,ETF・ETN,1456 ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,ETF・ETN,1457 ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN,1458 楽天ＥＴＦ‐日経レバレッジ指数連動型
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN,1459 楽天ＥＴＦ‐日経ダブルインバース指数連動型
145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,145A Ｌ　ｉｓ　Ｂ
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN,1466 ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN,1469 ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）
146A,コロンビア・ワークス,スタンダード（内国株式）,146A コロンビア・ワークス
